observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
CM_BCS_isotope_alpha,CM,dpm,symbolic,0.5,0.5,0.000000,EXACT,dpm,PAPER_1167
CM_BCS_isotope_alpha,CM,dpm,numerical,0.5,0.5,0.000000,EXACT,dpm,PAPER_1167
CM_BCS_isotope_alpha,CM,dpm,discrete,0.5,0.5,0.000000,EXACT,dpm,PAPER_1167
CM_BCS_isotope_alpha,CM,d26,symbolic,,0.5,,GAP,dpm,PAPER_1167
CM_BCS_isotope_alpha,CM,d26,numerical,,0.5,,GAP,dpm,PAPER_1167
CM_BCS_isotope_alpha,CM,d26,discrete,,0.5,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,qcalcgeom,symbolic,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,qcalcgeom,numerical,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,qcalcgeom,discrete,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,bsfg,symbolic,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,bsfg,numerical,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,bsfg,discrete,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,dpm,symbolic,3.325,3.3125,0.377358,OK,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,dpm,numerical,3.325,3.3125,0.377358,OK,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,dpm,discrete,3.325,3.3125,0.377358,OK,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,d26,symbolic,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,d26,numerical,,3.3125,,GAP,dpm,PAPER_1167
CM_BEC_Tc_coeff,CM,d26,discrete,,3.3125,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,qcalcgeom,symbolic,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,qcalcgeom,numerical,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,qcalcgeom,discrete,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,bsfg,symbolic,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,bsfg,numerical,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,bsfg,discrete,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,dpm,symbolic,1.5,1.5,0.000000,EXACT,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,dpm,numerical,1.5,1.5,0.000000,EXACT,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,dpm,discrete,1.5,1.5,0.000000,EXACT,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,d26,symbolic,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,d26,numerical,,1.5,,GAP,dpm,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,d26,discrete,,1.5,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,qcalcgeom,symbolic,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,qcalcgeom,numerical,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,qcalcgeom,discrete,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,bsfg,symbolic,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,bsfg,numerical,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,bsfg,discrete,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,dpm,symbolic,2.0,2.0,0.000000,EXACT,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,dpm,numerical,2.0,2.0,0.000000,EXACT,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,dpm,discrete,2.0,2.0,0.000000,EXACT,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,d26,symbolic,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,d26,numerical,,2.0,,GAP,dpm,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,d26,discrete,,2.0,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,qcalcgeom,symbolic,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,qcalcgeom,numerical,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,qcalcgeom,discrete,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,bsfg,symbolic,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,bsfg,numerical,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,bsfg,discrete,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,dpm,symbolic,3.299666666666667,3.289868133696453,0.297840,OK,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,dpm,numerical,3.299666666666667,3.289868133696453,0.297840,OK,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,dpm,discrete,3.299666666666667,3.289868133696453,0.297840,OK,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,d26,symbolic,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,d26,numerical,,3.289868133696453,,GAP,dpm,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,d26,discrete,,3.289868133696453,,GAP,dpm,PAPER_1167
