# UQFF Black Hole Entropy vs Mass
# f_TRZ=0.1, rho_ratio=10, U_m=1e-40
M_kg,M_solar,r_s_m,A_m2,T_H_K,S_BH,S_UQFF,damping
1.989000e+30,1.000000e+00,2.954127e+03,1.096650e+08,6.168430e-08,1.449011e+54,1.304110e+55,1.000000e+00
7.956000e+30,4.000000e+00,1.181651e+04,1.754640e+09,1.542107e-08,2.318417e+55,2.086575e+56,1.000000e+00
1.392300e+31,7.000000e+00,2.067889e+04,5.373585e+09,8.812042e-09,7.100152e+55,6.390137e+56,1.000000e+00
