"SOURCE_Block","Source_File","Physics_Terms","Category","Status","Updated"
"NOTE: This file is deprecated. See module_catalog_UPDATED_NOV18.csv for current SOURCE1-116 integration","","","","","2025-11-18"
"Legacy entries below (Source14-162) - Current platform uses SOURCE block system","","","","",""
"Source","ClassName","File","","",""
"146","NGC1365UQFFModule","Source146.cpp"
"147","NGC2207UQFFModule","Source147.cpp"
"148","RAquariiUQFFModule","Source148.cpp"
"149","SgrAStarUQFFModule","Source149.cpp"
"150","SPTCLJ2215UQFFModule","Source150.cpp"
"151","StephanQuintetUQFFModule","Source151.cpp"
"152","VelaPulsarUQFFModule","Source152.cpp"
"153","Abell2256UQFFModule","Source153.cpp"
"154","HydrogenResonanceUQFFModule","Source154.cpp"
"155","UQFFBuoyancyModule","Source155.cpp"
"156","UQFFBuoyancyCNBModule","Source156.cpp"
"157","SurfaceMagneticFieldModule","Source157.cpp"
"158","UQFFBuoyancyModule","Source158.cpp"
"159","UQFFBuoyancyModule","Source159.cpp"
"160","UQFFBuoyancyModule","Source160.cpp"
"161","UQFFBuoyancyAstroModule","Source161.cpp"
"162","UQFFBuoyancyCNBModule","Source162.cpp"
