"SOURCE_Block","Source_File","Physics_Terms","Category","Status","Updated"
"NOTE: This file is deprecated. See module_catalog_UPDATED_NOV18.csv for current SOURCE1-116 integration","","","","","2025-11-18"
"Legacy entries below (Source14-162) - Current platform uses SOURCE block system","","","","",""
"Source","ClassName","File","","",""
"14","MagnetarSGR0501_4516","Source14.cpp","","",""
"15","SMBHSgrAStar","Source15.cpp","","",""
"28","AndromedaUQFFModule","Source28.cpp"
"29","SombreroUQFFModule","Source29.cpp"
"30","SaturnUQFFModule","Source30.cpp"
"31","M16UQFFModule","Source31.cpp"
"32","CrabUQFFModule","Source32.cpp"
"33","SGR1745UQFFModule","Source33.cpp"
"34","SGR1745UQFFModule","Source34.cpp"
"35","SgrA_UQFFModule","Source35.cpp"
"36","TapestryUQFFModule","Source36.cpp"
"37","ResonanceSuperconductiveUQFFModule","Source37.cpp"
"38","CompressedResonanceUQFFModule","Source38.cpp"
"39","CrabResonanceUQFFModule","Source39.cpp"
"40","CompressedResonanceUQFF24Module","Source40.cpp"
"41","UniverseDiameterUQFFModule","Source41.cpp"
"42","HydrogenAtomUQFFModule","Source42.cpp"
"43","HydrogenPToEResonanceUQFFModule","Source43.cpp"
"44","LagoonUQFFModule","Source44.cpp"
"45","SpiralSupernovaeUQFFModule","Source45.cpp"
"46","NGC6302UQFFModule","Source46.cpp"
"47","NGC6302ResonanceUQFFModule","Source47.cpp"
"48","OrionUQFFModule","Source48.cpp"
"49","CompressedResonanceUQFF34Module","Source49.cpp"
"52","MultiUQFFModule","Source52.cpp"
"54","YoungStarsOutflowsUQFFModule","Source54.cpp"
"56","BigBangGravityUQFFModule","Source56.cpp"
"57","MultiCompressedUQFFModule","Source57.cpp"
"60","MultiUQFFCompressionModule","Source60.cpp"
"64","UFEOrbModule","Source64.cpp"
"65","NebularUQFFModule","Source65.cpp"
"66","RedDwarfUQFFModule","Source66.cpp"
"67","InertiaUQFFModule","Source67.cpp"
"68","HydrogenUQFFModule","Source68.cpp"
"69","UQFFCompressionModule","Source69.cpp"
"70","M51UQFFModule","Source70.cpp"
"71","NGC1316UQFFModule","Source71.cpp"
"72","V838MonUQFFModule","Source72.cpp"
"73","NGC1300UQFFModule","Source73.cpp"
"74","UQFFCompressedResonanceModule","Source74.cpp"
"76","NGC2264UQFFModule","Source76.cpp"
"77","UGC10214UQFFModule","Source77.cpp"
"78","NGC4676UQFFModule","Source78.cpp"
"79","RedSpiderUQFFModule","Source79.cpp"
"80","SMBHBinaryUQFFModule","Source80.cpp"
"81","NGC346UQFFModule","Source81.cpp"
"82","SMBHUQFFModule","Source82.cpp"
"83","LENRUQFFModule","Source83.cpp"
"84","LENRCalibUQFFModule","Source84.cpp"
"85","NGC346UQFFModule","Source85.cpp"
"86","MUGEModule","Source86.cpp"
"87","MUGEResonanceModule","Source87.cpp"
"88","AndromedaUQFFModule","Source88.cpp"
"89","AetherCouplingModule","Source89.cpp"
"90","BackgroundAetherModule","Source90.cpp"
"91","DPMModule","Source91.cpp"
"92","BuoyancyCouplingModule","Source92.cpp"
"93","SolarWindBuoyancyModule","Source93.cpp"
"94","UgCouplingModule","Source94.cpp"
"95","MagneticStringModule","Source95.cpp"
"96","GalacticDistanceModule","Source96.cpp"
"97","FeedbackFactorModule","Source97.cpp"
"98","UnifiedFieldModule","Source98.cpp"
"100","HeavisideFractionModule","Source100.cpp"
"101","HeliosphereThicknessModule","Source101.cpp"
"102","UgIndexModule","Source102.cpp"
"103","InertiaCouplingModule","Source103.cpp"
"104","MagneticMomentModule","Source104.cpp"
"105","GalacticBlackHoleModule","Source105.cpp"
"106","NegativeTimeModule","Source106.cpp"
"107","PiConstantModule","Source107.cpp"
"108","CorePenetrationModule","Source108.cpp"
"109","QuasiLongitudinalModule","Source109.cpp"
"110","OuterFieldBubbleModule","Source110.cpp"
"111","ReciprocationDecayModule","Source111.cpp"
"112","ScmPenetrationModule","Source112.cpp"
"113","ScmReactivityDecayModule","Source113.cpp"
"114","SolarCycleFrequencyModule","Source114.cpp"
"115","SolarWindModulationModule","Source115.cpp"
"116","SolarWindVelocityModule","Source116.cpp"
"117","StellarMassModule","Source117.cpp"
"118","StellarRotationModule","Source118.cpp"
"119","StepFunctionModule","Source119.cpp"
"120","StressEnergyTensorModule","Source120.cpp"
"121","SurfaceMagneticFieldModule","Source121.cpp"
"122","SurfaceTemperatureModule","Source122.cpp"
"123","TimeReversalZoneModule","Source123.cpp"
"124","Ug1DefectModule","Source124.cpp"
"125","Ug3DiskVectorModule","Source125.cpp"
"126","AetherVacuumDensityModule","Source126.cpp"
"127","UniversalInertiaVacuumModule","Source127.cpp"
"128","ScmVacuumDensityModule","Source128.cpp"
"129","UaVacuumDensityModule","Source129.cpp"
"130","UniversalInertiaVacuumModule","Source130.cpp"
"131","ScmVelocityModule","Source131.cpp"
"132","ButterflyNebulaUQFFModule","Source132.cpp"
"133","CentaurusAUQFFModule","Source133.cpp"
"134","Abell2256UQFFModule","Source134.cpp"
"135","ASASSN14liUQFFModule","Source135.cpp"
"136","CentaurusAUQFFModule","Source136.cpp"
"137","CrabNebulaUQFFModule","Source137.cpp"
"138","ElGordoUQFFModule","Source138.cpp"
"139","ESO137UQFFModule","Source139.cpp"
"140","IC2163UQFFModule","Source140.cpp"
"141","J1610UQFFModule","Source141.cpp"
"142","JupiterAuroraeUQFFModule","Source142.cpp"
"143","LagoonNebulaUQFFModule","Source143.cpp"
"144","LagoonNebulaUQFFModule","Source144.cpp"
"145","M87JetUQFFModule","Source145.cpp"
