observable,domain,owner_geometry,qg_sym,qg_num,qg_dis,bsfg_sym,bsfg_num,bsfg_dis,dpm_sym,dpm_num,dpm_dis,d26_sym,d26_num,d26_dis,owner_N,total_N,primary_source
geo_brunt_vaisala_N2_s2,geo,qcalcgeom,EXACT,EXACT,EXACT,,,,,,,,,,3,3,PAPER_1167
geo_greenhouse_DeltaT_K,geo,qcalcgeom,0.2071%,0.2071%,0.2071%,,,,,,,,,,3,3,PAPER_1167
geo_magnetopause_R_E,geo,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1167
geo_ocean_salinity_ppt,geo,qcalcgeom,0.0876%,0.0876%,0.0876%,,,,,,,,,,3,3,PAPER_1167
higgs_vev,SM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1636
hubble_tension,LCDM,d26,,,,,,,,,,EXACT,EXACT,EXACT,3,3,PAPER_1676
m_W_alt,SM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1686
mp_me_ratio,SI,bsfg,,,,0.0019%,0.0019%,0.0019%,,,,,,,3,3,PAPER_1167
n_s_scalar_tilt,LCDM,d26,,,,,,,,,,0.0051%,0.0051%,0.0051%,3,3,PAPER_1736
omega_lambda_6_5_SSQ,LCDM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1696
periodic_table_periods,chem,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1167
quantum_supremacy_qubits,SI,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1655
stefan_boltzmann_prefactor,SI,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1167
surface_code_threshold,SI,d26,,,,,,,,,,EXACT,EXACT,EXACT,3,3,PAPER_1746
weinberg_sin2,SM,dpm,,,,,,,0.1131%,0.1131%,0.1131%,,,,3,3,PAPER_1167
