# UQFFModule26_HUDF_SelfExpanding Simulation Results
# Time, Value
0.000000e+00,1.357280e+12
3.156000e+15,1.357280e+12
6.312000e+15,1.357280e+12
9.468000e+15,1.357280e+12
1.262400e+16,1.357280e+12
1.578000e+16,1.357280e+12
1.893600e+16,1.357280e+12
2.209200e+16,1.357280e+12
2.524800e+16,1.357280e+12
2.840400e+16,1.357280e+12
3.156000e+16,1.357280e+12
3.471600e+16,1.357280e+12
3.787200e+16,1.357280e+12
4.102800e+16,1.357280e+12
4.418400e+16,1.357280e+12
4.734000e+16,1.357280e+12
5.049600e+16,1.357280e+12
5.365200e+16,1.357280e+12
5.680800e+16,1.357280e+12
5.996400e+16,1.357280e+12
6.312000e+16,1.357280e+12
6.627600e+16,1.357280e+12
6.943200e+16,1.357280e+12
7.258800e+16,1.357280e+12
7.574400e+16,1.357280e+12
7.890000e+16,1.357280e+12
8.205600e+16,1.357280e+12
8.521200e+16,1.357280e+12
8.836800e+16,1.357280e+12
9.152400e+16,1.357280e+12
9.468000e+16,1.357280e+12
9.783600e+16,1.357280e+12
1.009920e+17,1.357280e+12
1.041480e+17,1.357280e+12
1.073040e+17,1.357280e+12
1.104600e+17,1.357280e+12
1.136160e+17,1.357280e+12
1.167720e+17,1.357280e+12
1.199280e+17,1.357280e+12
1.230840e+17,1.357280e+12
1.262400e+17,1.357280e+12
1.293960e+17,1.357280e+12
1.325520e+17,1.357280e+12
1.357080e+17,1.357280e+12
1.388640e+17,1.357280e+12
1.420200e+17,1.357280e+12
1.451760e+17,1.357280e+12
1.483320e+17,1.357280e+12
1.514880e+17,1.357280e+12
1.546440e+17,1.357280e+12
1.578000e+17,1.357280e+12
