# UQFF Entanglement Entropy vs Temperature
# f_TRZ=0.1, U_m=1e-20, rho_ratio=10
T,S_base,S_UQFF,d_eff,d_eff_UQFF,damping_factor
1.000000e+01,6.931472e-01,6.890395e-01,2.000000e+00,2.000000e+01,1.371162e-02
5.000000e+01,6.931472e-01,6.731646e-01,2.000000e+00,2.000000e+01,6.670361e-02
9.000000e+01,6.931472e-01,6.581425e-01,2.000000e+00,2.000000e+01,1.168484e-01
1.300000e+02,6.931472e-01,6.439276e-01,2.000000e+00,2.000000e+01,1.642990e-01
1.700000e+02,6.931472e-01,6.304764e-01,2.000000e+00,2.000000e+01,2.092001e-01
