"Term","Class","Method","File"
"ScmReactivityDecayModule::computeKappa_day","ScmReactivityDecayModule","computeKappa_day","source113.cpp"
"SolarCycleFrequencyModule::computeOmega_c","SolarCycleFrequencyModule","computeOmega_c","source114.cpp"
"SolarCycleFrequencyModule::computeSinOmegaCT","SolarCycleFrequencyModule","computeSinOmegaCT","source114.cpp"
"SolarCycleFrequencyModule::computeMuJExample","SolarCycleFrequencyModule","computeMuJExample","source114.cpp"
"SolarWindModulationModule::computeModulationFactor","SolarWindModulationModule","computeModulationFactor","Source115.cpp"
"SolarWindModulationModule::computeU_g2","SolarWindModulationModule","computeU_g2","Source115.cpp"
"SolarWindModulationModule::computeDelta_sw","SolarWindModulationModule","computeDelta_sw","Source115.cpp"
"SolarWindModulationModule::computeU_g2_no_mod","SolarWindModulationModule","computeU_g2_no_mod","Source115.cpp"
"SolarWindVelocityModule::computeModulationFactor","SolarWindVelocityModule","computeModulationFactor","source116.cpp"
"SolarWindVelocityModule::computeU_g2","SolarWindVelocityModule","computeU_g2","source116.cpp"
"SolarWindVelocityModule::computeV_sw","SolarWindVelocityModule","computeV_sw","source116.cpp"
"SolarWindVelocityModule::computeV_swKmS","SolarWindVelocityModule","computeV_swKmS","source116.cpp"
"SolarWindVelocityModule::computeU_g2_no_sw","SolarWindVelocityModule","computeU_g2_no_sw","source116.cpp"
"StellarMassModule::computeM_sOverR2","StellarMassModule","computeM_sOverR2","source117.cpp"
"StellarMassModule::computeU_g1","StellarMassModule","computeU_g1","source117.cpp"
"StellarMassModule::computeU_g2","StellarMassModule","computeU_g2","source117.cpp"
"StellarMassModule::computeM_s","StellarMassModule","computeM_s","source117.cpp"
"StellarMassModule::computeM_sInMsun","StellarMassModule","computeM_sInMsun","source117.cpp"
"StellarRotationModule::computeOmega_s_t","StellarRotationModule","computeOmega_s_t","source118.cpp"
"StellarRotationModule::computeU_g3","StellarRotationModule","computeU_g3","source118.cpp"
"StellarRotationModule::computeU_i","StellarRotationModule","computeU_i","source118.cpp"
"StellarRotationModule::computeOmega_s","StellarRotationModule","computeOmega_s","source118.cpp"
"StellarRotationModule::computePeriod_days","StellarRotationModule","computePeriod_days","source118.cpp"
"StepFunctionModule::computeS_r_Rb","StepFunctionModule","computeS_r_Rb","Source119.cpp"
"StepFunctionModule::computeU_g2","StepFunctionModule","computeU_g2","Source119.cpp"
"StressEnergyTensorModule::computeT_s","StressEnergyTensorModule","computeT_s","source120.cpp"
"StressEnergyTensorModule::computeA_mu_nu","StressEnergyTensorModule","computeA_mu_nu","source120.cpp"
"StressEnergyTensorModule::computePerturbation","StressEnergyTensorModule","computePerturbation","source120.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","source121.cpp"
"SurfaceMagneticFieldModule::computeU_g3_example","SurfaceMagneticFieldModule","computeU_g3_example","source121.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","source121.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","source121.cpp"
"SurfaceTemperatureModule::computeB_j_hypothetical","SurfaceTemperatureModule","computeB_j_hypothetical","Source122.cpp"
"SurfaceTemperatureModule::computeU_g3_example","SurfaceTemperatureModule","computeU_g3_example","Source122.cpp"
"SurfaceTemperatureModule::computeT_s","SurfaceTemperatureModule","computeT_s","Source122.cpp"
"TimeReversalZoneModule::computeTRZFactor","TimeReversalZoneModule","computeTRZFactor","source123.cpp"
"TimeReversalZoneModule::computeU_i_base","TimeReversalZoneModule","computeU_i_base","source123.cpp"
"TimeReversalZoneModule::computeU_i","TimeReversalZoneModule","computeU_i","source123.cpp"
"TimeReversalZoneModule::computeF_TRZ","TimeReversalZoneModule","computeF_TRZ","source123.cpp"
"TimeReversalZoneModule::computeU_i_no_TRZ","TimeReversalZoneModule","computeU_i_no_TRZ","source123.cpp"
"Ug1DefectModule::computeDelta_def","Ug1DefectModule","computeDelta_def","source124.cpp"
"Ug1DefectModule::computeU_g1","Ug1DefectModule","computeU_g1","source124.cpp"
"Ug1DefectModule::computePeriod_years","Ug1DefectModule","computePeriod_years","source124.cpp"
"Ug3DiskVectorModule::computePhiHat_j","Ug3DiskVectorModule","computePhiHat_j","source125.cpp"
"Ug3DiskVectorModule::computeUmBase","Ug3DiskVectorModule","computeUmBase","source125.cpp"
"Ug3DiskVectorModule::computeUmContribution","Ug3DiskVectorModule","computeUmContribution","source125.cpp"
"Ug3DiskVectorModule::computePhiHatMagnitude","Ug3DiskVectorModule","computePhiHatMagnitude","source125.cpp"
"AetherVacuumDensityModule::computeT_s","AetherVacuumDensityModule","computeT_s","source126.cpp"
"AetherVacuumDensityModule::computeA_mu_nu","AetherVacuumDensityModule","computeA_mu_nu","source126.cpp"
"AetherVacuumDensityModule::computeRho_vac_A","AetherVacuumDensityModule","computeRho_vac_A","source126.cpp"
"AetherVacuumDensityModule::computePerturbation","AetherVacuumDensityModule","computePerturbation","source126.cpp"
"UniversalInertiaVacuumModule::computeU_i_base","UniversalInertiaVacuumModule","computeU_i_base","source127.cpp"
"UniversalInertiaVacuumModule::computeU_i","UniversalInertiaVacuumModule","computeU_i","source127.cpp"
"UniversalInertiaVacuumModule::computeRho_vac_Ui","UniversalInertiaVacuumModule","computeRho_vac_Ui","source127.cpp"
"ScmVacuumDensityModule::computeU_g2_base","ScmVacuumDensityModule","computeU_g2_base","source128.cpp"
"ScmVacuumDensityModule::computeU_i_base","ScmVacuumDensityModule","computeU_i_base","source128.cpp"
"ScmVacuumDensityModule::computeRho_vac_SCm","ScmVacuumDensityModule","computeRho_vac_SCm","source128.cpp"
"ScmVacuumDensityModule::computeU_g2_example","ScmVacuumDensityModule","computeU_g2_example","source128.cpp"
"ScmVacuumDensityModule::computeU_i_example","ScmVacuumDensityModule","computeU_i_example","source128.cpp"
"UaVacuumDensityModule::computeU_g2_base","UaVacuumDensityModule","computeU_g2_base","source129.cpp"
"UaVacuumDensityModule::computeU_i_base","UaVacuumDensityModule","computeU_i_base","source129.cpp"
"UaVacuumDensityModule::computeRho_vac_UA","UaVacuumDensityModule","computeRho_vac_UA","source129.cpp"
"UaVacuumDensityModule::computeU_g2_example","UaVacuumDensityModule","computeU_g2_example","source129.cpp"
"UaVacuumDensityModule::computeU_i_example","UaVacuumDensityModule","computeU_i_example","source129.cpp"
"in::compute_Ug","in","compute_Ug","source13.cpp"
"in::compute_V","in","compute_V","source13.cpp"
"in::compute_M_mag","in","compute_M_mag","source13.cpp"
"in::compute_cumulative_D","in","compute_cumulative_D","source13.cpp"
"in::compute_g_Magnetar","in","compute_g_Magnetar","source13.cpp"
"MagnetarSGR1745_2900::compute_Ug","MagnetarSGR1745_2900","compute_Ug","source13.cpp"
"MagnetarSGR1745_2900::compute_V","MagnetarSGR1745_2900","compute_V","source13.cpp"
"MagnetarSGR1745_2900::compute_M_mag","MagnetarSGR1745_2900","compute_M_mag","source13.cpp"
"MagnetarSGR1745_2900::compute_cumulative_D","MagnetarSGR1745_2900","compute_cumulative_D","source13.cpp"
"MagnetarSGR1745_2900::compute_g_Magnetar","MagnetarSGR1745_2900","compute_g_Magnetar","source13.cpp"
"UniversalInertiaVacuumModule::computeU_i_base","UniversalInertiaVacuumModule","computeU_i_base","source130.cpp"
"UniversalInertiaVacuumModule::computeU_i","UniversalInertiaVacuumModule","computeU_i","source130.cpp"
"UniversalInertiaVacuumModule::computeRho_vac_Ui","UniversalInertiaVacuumModule","computeRho_vac_Ui","source130.cpp"
"ScmVelocityModule::computeE_react_base","ScmVelocityModule","computeE_react_base","source131.cpp"
"ScmVelocityModule::computeE_react","ScmVelocityModule","computeE_react","source131.cpp"
"ScmVelocityModule::computeUmExample","ScmVelocityModule","computeUmExample","source131.cpp"
"ScmVelocityModule::computeV_scm","ScmVelocityModule","computeV_scm","source131.cpp"
"ButterflyNebulaUQFFModule::computeDPM_momentum_term","ButterflyNebulaUQFFModule","computeDPM_momentum_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeDPM_gravity_term","ButterflyNebulaUQFFModule","computeDPM_gravity_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeDPM_stability_term","ButterflyNebulaUQFFModule","computeDPM_stability_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeLENR_term","ButterflyNebulaUQFFModule","computeLENR_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeActivation_term","ButterflyNebulaUQFFModule","computeActivation_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeDE_term","ButterflyNebulaUQFFModule","computeDE_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeEM_term","ButterflyNebulaUQFFModule","computeEM_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeNeutron_term","ButterflyNebulaUQFFModule","computeNeutron_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeRel_term","ButterflyNebulaUQFFModule","computeRel_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeSweet_vac_term","ButterflyNebulaUQFFModule","computeSweet_vac_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeKozima_term","ButterflyNebulaUQFFModule","computeKozima_term","source132.cpp"
"ButterflyNebulaUQFFModule::computeIntegrand","ButterflyNebulaUQFFModule","computeIntegrand","source132.cpp"
"ButterflyNebulaUQFFModule::computeIntegral","ButterflyNebulaUQFFModule","computeIntegral","source132.cpp"
"ButterflyNebulaUQFFModule::computeF_U_Bi","ButterflyNebulaUQFFModule","computeF_U_Bi","source132.cpp"
"CentaurusAUQFFModule::computeDPM_momentum_term","CentaurusAUQFFModule","computeDPM_momentum_term","source133.cpp"
"CentaurusAUQFFModule::computeDPM_gravity_term","CentaurusAUQFFModule","computeDPM_gravity_term","source133.cpp"
"CentaurusAUQFFModule::computeDPM_stability_term","CentaurusAUQFFModule","computeDPM_stability_term","source133.cpp"
"CentaurusAUQFFModule::computeLENR_term","CentaurusAUQFFModule","computeLENR_term","source133.cpp"
"CentaurusAUQFFModule::computeActivation_term","CentaurusAUQFFModule","computeActivation_term","source133.cpp"
"CentaurusAUQFFModule::computeDE_term","CentaurusAUQFFModule","computeDE_term","source133.cpp"
"CentaurusAUQFFModule::computeEM_term","CentaurusAUQFFModule","computeEM_term","source133.cpp"
"CentaurusAUQFFModule::computeNeutron_term","CentaurusAUQFFModule","computeNeutron_term","source133.cpp"
"CentaurusAUQFFModule::computeRel_term","CentaurusAUQFFModule","computeRel_term","source133.cpp"
"CentaurusAUQFFModule::computeSweet_vac_term","CentaurusAUQFFModule","computeSweet_vac_term","source133.cpp"
"CentaurusAUQFFModule::computeKozima_term","CentaurusAUQFFModule","computeKozima_term","source133.cpp"
"CentaurusAUQFFModule::computeIntegrand","CentaurusAUQFFModule","computeIntegrand","source133.cpp"
"CentaurusAUQFFModule::computeIntegral","CentaurusAUQFFModule","computeIntegral","source133.cpp"
"CentaurusAUQFFModule::computeF_U_Bi","CentaurusAUQFFModule","computeF_U_Bi","source133.cpp"
"Abell2256UQFFModule::computeIntegrand","Abell2256UQFFModule","computeIntegrand","source134.cpp"
"Abell2256UQFFModule::computeDPM_resonance","Abell2256UQFFModule","computeDPM_resonance","source134.cpp"
"Abell2256UQFFModule::computeX2","Abell2256UQFFModule","computeX2","source134.cpp"
"Abell2256UQFFModule::computeQuadraticRoot","Abell2256UQFFModule","computeQuadraticRoot","source134.cpp"
"Abell2256UQFFModule::computeLENRTerm","Abell2256UQFFModule","computeLENRTerm","source134.cpp"
"Abell2256UQFFModule::computeG","Abell2256UQFFModule","computeG","source134.cpp"
"Abell2256UQFFModule::computeQ_wave","Abell2256UQFFModule","computeQ_wave","source134.cpp"
"Abell2256UQFFModule::computeUb1","Abell2256UQFFModule","computeUb1","source134.cpp"
"Abell2256UQFFModule::computeUi","Abell2256UQFFModule","computeUi","source134.cpp"
"Abell2256UQFFModule::computeF","Abell2256UQFFModule","computeF","source134.cpp"
"Abell2256UQFFModule::computeCompressed","Abell2256UQFFModule","computeCompressed","source134.cpp"
"Abell2256UQFFModule::computeResonant","Abell2256UQFFModule","computeResonant","source134.cpp"
"Abell2256UQFFModule::computeBuoyancy","Abell2256UQFFModule","computeBuoyancy","source134.cpp"
"Abell2256UQFFModule::computeSuperconductive","Abell2256UQFFModule","computeSuperconductive","source134.cpp"
"Abell2256UQFFModule::computeCompressedG","Abell2256UQFFModule","computeCompressedG","source134.cpp"
"ASASSN14liUQFFModule::computeIntegrand","ASASSN14liUQFFModule","computeIntegrand","source135.cpp"
"ASASSN14liUQFFModule::computeDPM_resonance","ASASSN14liUQFFModule","computeDPM_resonance","source135.cpp"
"ASASSN14liUQFFModule::computeX2","ASASSN14liUQFFModule","computeX2","source135.cpp"
"ASASSN14liUQFFModule::computeQuadraticRoot","ASASSN14liUQFFModule","computeQuadraticRoot","source135.cpp"
"ASASSN14liUQFFModule::computeLENRTerm","ASASSN14liUQFFModule","computeLENRTerm","source135.cpp"
"ASASSN14liUQFFModule::computeG","ASASSN14liUQFFModule","computeG","source135.cpp"
"ASASSN14liUQFFModule::computeQ_wave","ASASSN14liUQFFModule","computeQ_wave","source135.cpp"
"ASASSN14liUQFFModule::computeUb1","ASASSN14liUQFFModule","computeUb1","source135.cpp"
"ASASSN14liUQFFModule::computeUi","ASASSN14liUQFFModule","computeUi","source135.cpp"
"ASASSN14liUQFFModule::computeF","ASASSN14liUQFFModule","computeF","source135.cpp"
"ASASSN14liUQFFModule::computeCompressed","ASASSN14liUQFFModule","computeCompressed","source135.cpp"
"ASASSN14liUQFFModule::computeResonant","ASASSN14liUQFFModule","computeResonant","source135.cpp"
"ASASSN14liUQFFModule::computeBuoyancy","ASASSN14liUQFFModule","computeBuoyancy","source135.cpp"
"ASASSN14liUQFFModule::computeSuperconductive","ASASSN14liUQFFModule","computeSuperconductive","source135.cpp"
"ASASSN14liUQFFModule::computeCompressedG","ASASSN14liUQFFModule","computeCompressedG","source135.cpp"
"CentaurusAUQFFModule::computeIntegrand","CentaurusAUQFFModule","computeIntegrand","source136.cpp"
"CentaurusAUQFFModule::computeDPM_resonance","CentaurusAUQFFModule","computeDPM_resonance","source136.cpp"
"CentaurusAUQFFModule::computeX2","CentaurusAUQFFModule","computeX2","source136.cpp"
"CentaurusAUQFFModule::computeQuadraticRoot","CentaurusAUQFFModule","computeQuadraticRoot","source136.cpp"
"CentaurusAUQFFModule::computeLENRTerm","CentaurusAUQFFModule","computeLENRTerm","source136.cpp"
"CentaurusAUQFFModule::computeG","CentaurusAUQFFModule","computeG","source136.cpp"
"CentaurusAUQFFModule::computeQ_wave","CentaurusAUQFFModule","computeQ_wave","source136.cpp"
"CentaurusAUQFFModule::computeUb1","CentaurusAUQFFModule","computeUb1","source136.cpp"
"CentaurusAUQFFModule::computeUi","CentaurusAUQFFModule","computeUi","source136.cpp"
"CentaurusAUQFFModule::computeF","CentaurusAUQFFModule","computeF","source136.cpp"
"CentaurusAUQFFModule::computeCompressed","CentaurusAUQFFModule","computeCompressed","source136.cpp"
"CentaurusAUQFFModule::computeResonant","CentaurusAUQFFModule","computeResonant","source136.cpp"
"CentaurusAUQFFModule::computeBuoyancy","CentaurusAUQFFModule","computeBuoyancy","source136.cpp"
"CentaurusAUQFFModule::computeSuperconductive","CentaurusAUQFFModule","computeSuperconductive","source136.cpp"
"CentaurusAUQFFModule::computeCompressedG","CentaurusAUQFFModule","computeCompressedG","source136.cpp"
"CrabNebulaUQFFModule::computeIntegrand","CrabNebulaUQFFModule","computeIntegrand","source137.cpp"
"CrabNebulaUQFFModule::computeDPM_resonance","CrabNebulaUQFFModule","computeDPM_resonance","source137.cpp"
"CrabNebulaUQFFModule::computeX2","CrabNebulaUQFFModule","computeX2","source137.cpp"
"CrabNebulaUQFFModule::computeQuadraticRoot","CrabNebulaUQFFModule","computeQuadraticRoot","source137.cpp"
"CrabNebulaUQFFModule::computeLENRTerm","CrabNebulaUQFFModule","computeLENRTerm","source137.cpp"
"CrabNebulaUQFFModule::computeG","CrabNebulaUQFFModule","computeG","source137.cpp"
"CrabNebulaUQFFModule::computeQ_wave","CrabNebulaUQFFModule","computeQ_wave","source137.cpp"
"CrabNebulaUQFFModule::computeUb1","CrabNebulaUQFFModule","computeUb1","source137.cpp"
"CrabNebulaUQFFModule::computeUi","CrabNebulaUQFFModule","computeUi","source137.cpp"
"CrabNebulaUQFFModule::computeF","CrabNebulaUQFFModule","computeF","source137.cpp"
"CrabNebulaUQFFModule::computeCompressed","CrabNebulaUQFFModule","computeCompressed","source137.cpp"
"CrabNebulaUQFFModule::computeResonant","CrabNebulaUQFFModule","computeResonant","source137.cpp"
"CrabNebulaUQFFModule::computeBuoyancy","CrabNebulaUQFFModule","computeBuoyancy","source137.cpp"
"CrabNebulaUQFFModule::computeSuperconductive","CrabNebulaUQFFModule","computeSuperconductive","source137.cpp"
"CrabNebulaUQFFModule::computeCompressedG","CrabNebulaUQFFModule","computeCompressedG","source137.cpp"
"ElGordoUQFFModule::computeIntegrand","ElGordoUQFFModule","computeIntegrand","source138.cpp"
"ElGordoUQFFModule::computeDPM_resonance","ElGordoUQFFModule","computeDPM_resonance","source138.cpp"
"ElGordoUQFFModule::computeX2","ElGordoUQFFModule","computeX2","source138.cpp"
"ElGordoUQFFModule::computeQuadraticRoot","ElGordoUQFFModule","computeQuadraticRoot","source138.cpp"
"ElGordoUQFFModule::computeLENRTerm","ElGordoUQFFModule","computeLENRTerm","source138.cpp"
"ElGordoUQFFModule::computeG","ElGordoUQFFModule","computeG","source138.cpp"
"ElGordoUQFFModule::computeQ_wave","ElGordoUQFFModule","computeQ_wave","source138.cpp"
"ElGordoUQFFModule::computeUb1","ElGordoUQFFModule","computeUb1","source138.cpp"
"ElGordoUQFFModule::computeUi","ElGordoUQFFModule","computeUi","source138.cpp"
"ElGordoUQFFModule::computeF","ElGordoUQFFModule","computeF","source138.cpp"
"ElGordoUQFFModule::computeCompressed","ElGordoUQFFModule","computeCompressed","source138.cpp"
"ElGordoUQFFModule::computeResonant","ElGordoUQFFModule","computeResonant","source138.cpp"
"ElGordoUQFFModule::computeBuoyancy","ElGordoUQFFModule","computeBuoyancy","source138.cpp"
"ElGordoUQFFModule::computeSuperconductive","ElGordoUQFFModule","computeSuperconductive","source138.cpp"
"ElGordoUQFFModule::computeCompressedG","ElGordoUQFFModule","computeCompressedG","source138.cpp"
"ESO137UQFFModule::computeIntegrand","ESO137UQFFModule","computeIntegrand","Source139.cpp"
"ESO137UQFFModule::computeDPM_resonance","ESO137UQFFModule","computeDPM_resonance","Source139.cpp"
"ESO137UQFFModule::computeX2","ESO137UQFFModule","computeX2","Source139.cpp"
"ESO137UQFFModule::computeQuadraticRoot","ESO137UQFFModule","computeQuadraticRoot","Source139.cpp"
"ESO137UQFFModule::computeLENRTerm","ESO137UQFFModule","computeLENRTerm","Source139.cpp"
"ESO137UQFFModule::computeG","ESO137UQFFModule","computeG","Source139.cpp"
"ESO137UQFFModule::computeQ_wave","ESO137UQFFModule","computeQ_wave","Source139.cpp"
"ESO137UQFFModule::computeUb1","ESO137UQFFModule","computeUb1","Source139.cpp"
"ESO137UQFFModule::computeUi","ESO137UQFFModule","computeUi","Source139.cpp"
"ESO137UQFFModule::computeF","ESO137UQFFModule","computeF","Source139.cpp"
"ESO137UQFFModule::computeCompressed","ESO137UQFFModule","computeCompressed","Source139.cpp"
"ESO137UQFFModule::computeResonant","ESO137UQFFModule","computeResonant","Source139.cpp"
"ESO137UQFFModule::computeBuoyancy","ESO137UQFFModule","computeBuoyancy","Source139.cpp"
"ESO137UQFFModule::computeSuperconductive","ESO137UQFFModule","computeSuperconductive","Source139.cpp"
"ESO137UQFFModule::computeCompressedG","ESO137UQFFModule","computeCompressedG","Source139.cpp"
"MagnetarSGR0501_4516::compute_Ug","MagnetarSGR0501_4516","compute_Ug","source14.cpp"
"MagnetarSGR0501_4516::compute_V","MagnetarSGR0501_4516","compute_V","source14.cpp"
"MagnetarSGR0501_4516::compute_g_Magnetar","MagnetarSGR0501_4516","compute_g_Magnetar","source14.cpp"
"IC2163UQFFModule::computeIntegrand","IC2163UQFFModule","computeIntegrand","source140.cpp"
"IC2163UQFFModule::computeDPM_resonance","IC2163UQFFModule","computeDPM_resonance","source140.cpp"
"IC2163UQFFModule::computeX2","IC2163UQFFModule","computeX2","source140.cpp"
"IC2163UQFFModule::computeQuadraticRoot","IC2163UQFFModule","computeQuadraticRoot","source140.cpp"
"IC2163UQFFModule::computeLENRTerm","IC2163UQFFModule","computeLENRTerm","source140.cpp"
"IC2163UQFFModule::computeG","IC2163UQFFModule","computeG","source140.cpp"
"IC2163UQFFModule::computeQ_wave","IC2163UQFFModule","computeQ_wave","source140.cpp"
"IC2163UQFFModule::computeUb1","IC2163UQFFModule","computeUb1","source140.cpp"
"IC2163UQFFModule::computeUi","IC2163UQFFModule","computeUi","source140.cpp"
"IC2163UQFFModule::computeF","IC2163UQFFModule","computeF","source140.cpp"
"IC2163UQFFModule::computeCompressed","IC2163UQFFModule","computeCompressed","source140.cpp"
"IC2163UQFFModule::computeResonant","IC2163UQFFModule","computeResonant","source140.cpp"
"IC2163UQFFModule::computeBuoyancy","IC2163UQFFModule","computeBuoyancy","source140.cpp"
"IC2163UQFFModule::computeSuperconductive","IC2163UQFFModule","computeSuperconductive","source140.cpp"
"IC2163UQFFModule::computeCompressedG","IC2163UQFFModule","computeCompressedG","source140.cpp"
