category,count,status_breakdown
DERIVATION_FIRST_PRINCIPLES,478,OK=472;OK_JSON=6
CALIBRATION_FROM_PARAMETERS,92,OK=92
<uncategorized>,56,OK=23;PARSE_FAIL=15;CE_strict=6;EXACT=6;OPEN=4;CE=2
