time,g
0,3.5604e+36
1e+09,3.5604e+36
2e+09,3.5604e+36
3e+09,3.5604e+36
4e+09,3.5604e+36
5e+09,3.5604e+36
6e+09,3.5604e+36
7e+09,3.5604e+36
8e+09,3.5604e+36
9e+09,3.5604e+36
1e+10,3.5604e+36
