ID,name,label,predicted,observed,error_pct,status,script,raw_output
201,closures,S201-new-classes-zero,0,0,0,OK,_session201_closures.py,S201-new-classes-zero: 0 vs 0 -> EXACT
202,closures,S202-BH26-spectral-sum,1760,1760,0,OK,_session202_closures.py,S202-BH26-spectral-sum: 1760 vs 1760 -> EXACT
203,closures,S203-PTF-net-displacement,0,0,0,OK,_session203_closures.py,S203-PTF-net-displacement: 0 vs 0 -> EXACT
204,closures,S204-GW-chirp-equal-mass,0.870550563296,0.870550563296,0,OK,_session204_closures.py,S204-GW-chirp-equal-mass: 0.870550563296 vs 0.870550563296 -> EXACT
205,closures,S205-doubling-time-identity,31.6172,31.6172,0,OK,_session205_closures.py,S205-doubling-time-identity: 31.6172 vs 31.6172 -> EXACT
206,qcalcgeom_ubs_closures,QCalcGeom-v220-system-dimensionality,4,4,0,OK,_session206_qcalcgeom_ubs_closures.py,QCalcGeom-v220-system-dimensionality: 4 vs 4 -> EXACT
207,cp_chain_closures,CPCH-1-bsfg-buoyancy-inverse-square,0.25,0.25,0,OK,_session207_cp_chain_closures.py,CPCH-1-bsfg-buoyancy-inverse-square: 0.25 vs 0.25 -> EXACT
208,wolfram_kb_primitives,WKB-1-Mayan-Baktun,144000,144000,0,OK,_session208_wolfram_kb_primitives.py,WKB-1-Mayan-Baktun: 144000 vs 144000 -> EXACT
209,nuclear_resonance_primitives,NRP-1-magic-cardinality,7,7,0,OK,_session209_nuclear_resonance_primitives.py,NRP-1-magic-cardinality: 7 vs 7 -> EXACT
210,closures,S210-CP4-class-delta,22,22,0,OK,_session210_closures.py,"""generated_utc"":  datetime.utcnow().isoformat() + ""Z"","
211,closures,benchmark-kernel-count,8,8,0,OK,_session211_closures.py,"""generated_utc"": datetime.utcnow().isoformat() + ""Z"","
261,audit,G27,1410473958869.3906,1410437235543.0183,0.0026036838397970946,OK_JSON,_session261_audit.py,- Bundle missing: arxiv_submission_1159_1170
261,closures,Test: 2   * m_p c^2,1.8765,,5.42,OK,_session261_closures.py,6/6 physical anchors closed.  Framework fully self-consistent.
262,closures,Structural reading,,,0.0195,OK,_session262_closures.py,Wrote _session262_closures.json
263,closures,Interpretation,,,4.8658,OK,_session263_closures.py,Wrote _session263_closures.json
264,closures,closures,,,0.671,OK,_session264_closures.py,Wrote _session264_closures.json
265,grok_rebuttals,shell,,,0.0195,OK,_session265_grok_rebuttals.py,Wrote _session265_grok_rebuttals.json
266,root_closure,root_closure,,,0,OK,_session266_root_closure.py,Wrote _session266_root_closure.json
267,extended_closures,extended_closures,,,0.0443,OK,_session267_extended_closures.py,Wrote _session267_extended_closures.json
268,gap_closures,Closest structural matches to m_e*c^2/E_0,,,0.0886,OK,_session268_gap_closures.py,Wrote _session268_gap_closures.json
269,full_cascade,c,300000000.0,299792458.0,0.06922855944561487,OK_JSON,_session269_full_cascade.py,Wrote _session269_full_cascade.json
270,271_calibrated_and_open,M_Chandra,,,127.577,OK,_session270_271_calibrated_and_open.py,Wrote _session270_271_results.json
272,forward_predictions,m_H,123.62949577528089,125.25,1.293815748278733,OK_JSON,_session272_forward_predictions.py,Wrote _session272_forward_predictions.json
273,lambda_hierarchy,Best SCm-amplification form,,,9.31,OK,_session273_lambda_hierarchy.py,Wrote _session273_lambda_hierarchy.json
274,beta_lambda_closure,Structural candidates for beta_i,,,0.0466,OK,_session274_beta_lambda_closure.py,Wrote _session274_beta_lambda_closure.json
275,mp_planck_closure,Same template for m_e / m_Planck,,,0.0814,OK,_session275_mp_planck_closure.py,Wrote _session275_mp_planck_closure.json
276,chandrasekhar_closure,omega_3,,,1.08,OK,_session276_chandrasekhar_closure.py,Wrote _session276_chandrasekhar_closure.json
277,beta_i_hunt,beta_i ~= log(ln2+1) * log(pi),0.602802,,0.0004,OK,_session277_beta_i_hunt.py,Wrote _session277_beta_i_hunt.json  (132 binary candidates)
