session,ledger_closures,primitive_decls,in_ledger_only,in_primitives_only,both,primitives_declared,ledger_scripts
748,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session748_LiH_He3_eta.py
749,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session749_eta_Yp_T0.py
750,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session750_eta_T0_H0.py
751,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session751_T0_Hratio_sigma8_Omegam.py
752,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session752_T0reform_sigma8KiDS_OmegaL.py
753,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session753_sigma8push_wDE_Obh2.py
754,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session754_Obh2push_zeq_rs.py
755,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session755_Obh2unblock_t0_tau.py
756,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session756_tauCE_zstar_Neff.py
757,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session757_tau_zstar_DH.py
758,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session758_mpme_alphaS_Omh2.py
759,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session759_tau_zstar_Oc_kpivot.py
760,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session760_Och2_mnu_As.py
761,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session761_As_obratio_eta.py
762,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session762_H0_rdrag_gammaPPN.py
763,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session763_NeffBBN_OmK_zreion_dCP.py
764,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session764_crossval_omnu_zBAO_etab.py
765,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session765_Aplanck_tau_S8_etabwiden.py
766,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session766_AL_w0_wa_Hz.py
767,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session767_BAO_distance_suite.py
768,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session768_BAO_z051_z061.py
769,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session769_struct_amp_anchors.py
770,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session770_matter_radiation_acoustic.py
771,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session771_inflation_reion_age_CV4.py
772,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session772_running_zdec_DH_CV5.py
773,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session773_zeq_BAO_nu_CV6.py
774,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session774_Rstar_DV015_fs8_CV7.py
775,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session775_teq_keq_mnu_CV8.py
776,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session776_zdrag_theta_OmDE_CV9.py
777,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session777_SMsector_CV10.py
778,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session778_SMmasses_CV11.py
779,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session779_quarks_CKM_CV12.py
780,1,5,0,0,1,BETA_I;D_PHYS;F_TRZ;N_CH,_session780_Higgs_gravity_CV13.py
781,1,6,0,0,1,BETA_I;D_CRIT;D_PHYS;F_TRZ;N_CH,_session781_cosmoconst_entropy_CV14.py
782,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session782_lambdaH_yt_etaB_CV15.py
783,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session783_sinW_alphasGUT_rho_CV16.py
784,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session784_MGUT_Dm2atm_PMNS_CV17.py
785,1,3,0,0,1,BETA_I;F_TRZ;N_CH,_session785_PMNS_solar_reactor_CV18.py
