SourceFile,ClassName,LineNumber,BaseClass,PhysicsType,MethodSignature
source149.cpp,DynamicVacuumTerm,64,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source149.cpp,QuantumCouplingTerm,93,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source149.cpp,SgrAStarUQFFModule,126,standalone,stellar,cdouble computeIntegrand(double t)
source150.cpp,DynamicVacuumTerm,64,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source150.cpp,QuantumCouplingTerm,93,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source150.cpp,SPTCLJ2215UQFFModule,126,standalone,unified,cdouble computeIntegrand(double t)
source151.cpp,DynamicVacuumTerm,63,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source151.cpp,QuantumCouplingTerm,92,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source151.cpp,StephanQuintetUQFFModule,125,standalone,unified,cdouble computeIntegrand(double t)
source152.cpp,DynamicVacuumTerm,64,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source152.cpp,QuantumCouplingTerm,93,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source152.cpp,VelaPulsarUQFFModule,126,standalone,stellar,cdouble computeIntegrand(double t)
source153.cpp,DynamicVacuumTerm,64,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source153.cpp,QuantumCouplingTerm,93,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source153.cpp,Abell2256UQFFModule,126,standalone,unified,cdouble computeIntegrand(double t)
source154.cpp,HydrogenResonanceUQFFModule,26,standalone,nuclear,"cdouble computeA_res(int Z, int A)"
source154.cpp,SurfaceMagneticFieldModule,69,standalone,magnetic,"double computeB_j(double t, double B_s)"
source155.cpp,UQFFBuoyancyModule,26,standalone,unified,"cdouble computeIntegrand(double t, const std::string& system)"
source155.cpp,SurfaceMagneticFieldModule,72,standalone,magnetic,double computeB_s_min()
source156.cpp,DynamicVacuumTerm,65,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source156.cpp,QuantumCouplingTerm,94,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source156.cpp,UQFFBuoyancyCNBModule,127,standalone,unified,"cdouble computeIntegrand(double t, const std::string& system)"
source156.cpp,SurfaceMagneticFieldModule,560,standalone,magnetic,"double computeGradient(const std::string& var, const std::string& target)"
source157.cpp,DynamicVacuumTerm,54,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source157.cpp,QuantumCouplingTerm,83,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source157.cpp,UQFFBuoyancyModule157,116,standalone,unified,double computeUb1(const std::string &system)
source157.cpp,SurfaceMagneticFieldModule,374,standalone,magnetic,"double computeGradient(const std::string &var, const std::string &target)"
source158.cpp,DynamicVacuumTerm,64,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source158.cpp,QuantumCouplingTerm,93,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source158.cpp,UQFFBuoyancyModule,126,standalone,unified,"cdouble computeIntegrand(double t, const std::string& system)"
source158.cpp,SurfaceMagneticFieldModule,184,standalone,magnetic,double computeB_s_min()
source159.cpp,DynamicVacuumTerm,63,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source159.cpp,QuantumCouplingTerm,92,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source159.cpp,UQFFBuoyancyModule,125,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source159.cpp,SurfaceMagneticFieldModule,254,standalone,magnetic,"double computeB_j(double t, double B_s)"
source160.cpp,UQFFBuoyancyModule,26,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source161.cpp,DynamicVacuumTerm,65,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source161.cpp,QuantumCouplingTerm,94,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source161.cpp,UQFFBuoyancyAstroModule,127,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source162.cpp,DynamicVacuumTerm,65,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source162.cpp,QuantumCouplingTerm,94,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double>& params)"
source162.cpp,UQFFBuoyancyCNBModule,127,standalone,unified,"cdouble computeIntegrand(double t, const std::string& system)"
source163.cpp,AstroSystemsUQFFModule,36,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source164.cpp,UQFFNebulaTriadicModule,40,standalone,stellar,"cdouble computeIntegrand(double t, const std::string &system)"
source165.cpp,UQFFBuoyancyModule,34,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source166.cpp,UQFF8AstroSystemsModule,35,standalone,unified,"cdouble computeIntegrand(double t, const std::string &system)"
source167.cpp,UQFFCoreModule,75,standalone,unified,"double calculate_U_g1(const std::vector<DPMVars> &vars, GeometryType geom = SPHERICAL)"
source167.cpp,UQFFSystem,225,standalone,unified,"double calculate_master_force(const std::vector<DPMVars> &vars, const UQFFCoreModule &core)"
source168.cpp,UQFFBuoyancyCore,86,standalone,unified,double calculate_F_LENR(double omega0)
source168.cpp,UQFFBuoyancySystem,134,standalone,unified,double calculate_master_buoyancy(const UQFFBuoyancyCore &core)
source169.cpp,UQFFCassiniCore,72,standalone,unified,
source169.cpp,UQFFCassiniSystem,110,standalone,unified,
source170.cpp,UQFFMultiAstroCore,84,standalone,unified,
source170.cpp,UQFFMultiAstroSystem,120,standalone,unified,
source171.cpp,UQFFEightAstroCore,93,standalone,unified,
source171.cpp,UQFFEightAstroSystem,148,standalone,unified,
source171.cpp,EightAstroSystemsModule_SOURCE114,474,standalone,nuclear,
source172.cpp,PhysicsTerm_S115,42,standalone,gravity,"double compute_E_DPM_i(int i, const DPMVars &vars)"
source172.cpp,UQFFNineteenAstroCore_S115,113,standalone,unified,"double compute_E_DPM_i(int i, const DPMVars &vars)"
source172.cpp,UQFFNineteenAstroSystem_S115,217,standalone,unified,
source172.cpp,NineteenAstroSystemsModule_SOURCE115,523,standalone,gravity,"double evaluate26DPolynomial(const std::array<double, NUM_STATES> &coeffs, double x)"
source173.cpp,PI_Infinity_Decoder_S116,56,standalone,magnetic,double computeDynamicContribution(double t)
source173.cpp,WolframFieldUnityEngine_S116,69,standalone,magnetic,double computeDynamicContribution(double t)
source173.cpp,WolframFieldUnityModule_SOURCE116,532,standalone,magnetic,double computeDynamicContribution(double t)
source13_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source13_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source13_wolfram.cpp,SGR1745BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source13_wolfram.cpp,SGR1745MagneticTerm,112,PhysicsTerm,magnetic,double compute(double t)
source13_wolfram.cpp,SGR1745UQFFUnificationTerm,145,PhysicsTerm,unified,double compute(double t)
source13_wolfram.cpp,SGR1745CosmologicalConstantTerm,177,PhysicsTerm,vacuum,double compute(double t)
source13_wolfram.cpp,SGR1745ElectromagneticTerm,193,PhysicsTerm,electromagnetic,double compute(double t)
source13_wolfram.cpp,SGR1745QuantumUncertaintyTerm,220,PhysicsTerm,quantum,double compute(double t)
source13_wolfram.cpp,SGR1745FluidDensityTerm,245,PhysicsTerm,fluid,double compute(double t)
source13_wolfram.cpp,SGR1745OscillatoryWaveTerm,270,PhysicsTerm,wave,double compute(double t)
source13_wolfram.cpp,SGR1745DarkMatterPerturbationTerm,295,PhysicsTerm,darkmatter,double compute(double t)
source13_wolfram.cpp,SGR1745WindFeedbackTerm,325,PhysicsTerm,stellar,double compute(double t)
source13_wolfram.cpp,SGR1745MagnetarDecayTerm,351,PhysicsTerm,magnetic,double compute(double t)
source13_wolfram.cpp,SGR1745StarburstSNeTerm,377,PhysicsTerm,stellar,double compute(double t)
source13_wolfram.cpp,SGR1745CavityPressureTerm,403,PhysicsTerm,fluid,double compute(double t)
source14_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source14_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source14_wolfram.cpp,SGR0501BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source14_wolfram.cpp,SGR0501MagneticTerm,112,PhysicsTerm,magnetic,double compute(double t)
source14_wolfram.cpp,SGR0501UQFFUnificationTerm,145,PhysicsTerm,unified,double compute(double t)
source14_wolfram.cpp,SGR0501CosmologicalConstantTerm,177,PhysicsTerm,vacuum,double compute(double t)
source14_wolfram.cpp,SGR0501ElectromagneticTerm,193,PhysicsTerm,electromagnetic,double compute(double t)
source14_wolfram.cpp,SGR0501QuantumUncertaintyTerm,220,PhysicsTerm,quantum,double compute(double t)
source14_wolfram.cpp,SGR0501FluidDensityTerm,245,PhysicsTerm,fluid,double compute(double t)
source14_wolfram.cpp,SGR0501OscillatoryWaveTerm,270,PhysicsTerm,wave,double compute(double t)
source14_wolfram.cpp,SGR0501DarkMatterPerturbationTerm,295,PhysicsTerm,darkmatter,double compute(double t)
source14_wolfram.cpp,SGR0501WindFeedbackTerm,325,PhysicsTerm,stellar,double compute(double t)
source14_wolfram.cpp,SGR0501MagnetarDecayTerm,351,PhysicsTerm,magnetic,double compute(double t)
source14_wolfram.cpp,SGR0501StarburstSNeTerm,377,PhysicsTerm,stellar,double compute(double t)
source14_wolfram.cpp,SGR0501CavityPressureTerm,403,PhysicsTerm,fluid,double compute(double t)
source15_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source15_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source15_wolfram.cpp,SgrAStarBaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source15_wolfram.cpp,SgrAStarSchwarzschildTerm,111,PhysicsTerm,gravity,double compute(double t)
source15_wolfram.cpp,SgrAStarUQFFUnificationTerm,136,PhysicsTerm,unified,double compute(double t)
source15_wolfram.cpp,SgrAStarCosmologicalConstantTerm,168,PhysicsTerm,vacuum,double compute(double t)
source15_wolfram.cpp,SgrAStarElectromagneticTerm,184,PhysicsTerm,electromagnetic,double compute(double t)
source15_wolfram.cpp,SgrAStarQuantumUncertaintyTerm,211,PhysicsTerm,quantum,double compute(double t)
source15_wolfram.cpp,SgrAStarFluidDensityTerm,236,PhysicsTerm,fluid,double compute(double t)
source15_wolfram.cpp,SgrAStarOscillatoryWaveTerm,261,PhysicsTerm,wave,double compute(double t)
source15_wolfram.cpp,SgrAStarDarkMatterPerturbationTerm,286,PhysicsTerm,darkmatter,double compute(double t)
source15_wolfram.cpp,SgrAStarWindFeedbackTerm,316,PhysicsTerm,stellar,double compute(double t)
source15_wolfram.cpp,SgrAStarAccretionDiskTerm,342,PhysicsTerm,gravity,double compute(double t)
source15_wolfram.cpp,SgrAStarJetLaunchTerm,371,PhysicsTerm,magnetic,double compute(double t)
source15_wolfram.cpp,SgrAStarTidalDisruptionTerm,400,PhysicsTerm,gravity,double compute(double t)
source15_wolfram.cpp,SgrAStarPhotonRingTerm,430,PhysicsTerm,gravity,double compute(double t)
