paper,cited_by_files
PAPER_1201,2
PAPER_1202,11
PAPER_1203,223
PAPER_1204,3
PAPER_1205,1
PAPER_1206,1
PAPER_1207,2
PAPER_1208,29
PAPER_1209,30
PAPER_1209AA,8
PAPER_1209BB,10
PAPER_1209CC,10
PAPER_1209DD,13
PAPER_1209EE,8
PAPER_1209FF,8
PAPER_1209GG,7
PAPER_1209HH,18
PAPER_1209II,10
PAPER_1209X,13
PAPER_1209Y,10
PAPER_1209Z,10
PAPER_121,10
PAPER_1210,2
PAPER_1211,1
PAPER_1215,3
PAPER_1216,74
PAPER_1217,3
PAPER_1218,2
PAPER_1219,3
PAPER_122,14
PAPER_1220,5
PAPER_1221,3
PAPER_1222,3
PAPER_1223,1
PAPER_1224,2
PAPER_1225,3
PAPER_1226,2
PAPER_1227,4
PAPER_1228,2
PAPER_1229,3
PAPER_123,4
PAPER_1230,2
PAPER_1231,3
PAPER_1232,4
PAPER_1233,1
PAPER_1234,2
PAPER_1235,2
PAPER_1236,5
PAPER_1237,5
PAPER_1238,3
PAPER_1239,1
PAPER_124,5
PAPER_1240,11
PAPER_1241,1
PAPER_1242,1
PAPER_1243,1
PAPER_1244,1
PAPER_1245,1
PAPER_1246,1
PAPER_1247,2
PAPER_1248,2
PAPER_1249,11
PAPER_125,3
PAPER_1250,1
PAPER_1251,8
PAPER_1252,1
PAPER_1253,25
PAPER_1254,13
PAPER_1255,12
PAPER_1256,1
PAPER_1257,1
PAPER_1258,2
PAPER_1259,5
PAPER_126,2
PAPER_1260,2
PAPER_1261,7
PAPER_1262,2
PAPER_1263,1
PAPER_1264,1
PAPER_1265,1
PAPER_1266,2
PAPER_1267,6
PAPER_1268,6
PAPER_1269,1
PAPER_127,12
PAPER_1270,22
PAPER_1271,11
PAPER_1272,2
PAPER_1273,2
PAPER_1274,2
PAPER_1275,2
PAPER_1276,1
PAPER_1277,2
PAPER_1278,1
PAPER_1279,1
PAPER_128,3
PAPER_1280,2
PAPER_1281,2
PAPER_1282,2
PAPER_1283,1
PAPER_1284,2
PAPER_1285,2
PAPER_1286,2
PAPER_1287,2
PAPER_1288,1
PAPER_1289,2
PAPER_129,6
PAPER_1290,1
PAPER_1291,1
PAPER_1292,2
PAPER_1293,1
PAPER_1294,2
PAPER_1295,2
PAPER_1296,2
PAPER_1297,2
PAPER_1298,4
PAPER_1299,2
PAPER_130,2
PAPER_1300,1
PAPER_1301,1
PAPER_1302,1
PAPER_1303,1
PAPER_1304,2
PAPER_1305,1
PAPER_1306,2
PAPER_1307,2
PAPER_1308,2
PAPER_1309,1
PAPER_131,3
PAPER_1310,2
PAPER_1311,5
PAPER_1312,2
PAPER_1313,2
PAPER_1314,2
PAPER_1315,1
PAPER_1316,2
PAPER_1317,1
PAPER_1318,587
PAPER_1319,2
PAPER_132,12
PAPER_1320,2
PAPER_1321,2
PAPER_1322,2
PAPER_1323,2
PAPER_1324,1
PAPER_1325,3
PAPER_1326,2
PAPER_1327,4
PAPER_1328,3
PAPER_1329,2
PAPER_133,12
PAPER_1330,3
PAPER_1331,7
PAPER_1332,2
PAPER_1333,2
PAPER_1334,2
PAPER_1335,1
PAPER_1336,4
PAPER_1337,1
PAPER_1338,1
PAPER_1339,2
PAPER_134,17
PAPER_1340,2
PAPER_1341,3
PAPER_1342,1
PAPER_1343,3
PAPER_1344,2
PAPER_1345,1
PAPER_1346,1
PAPER_1347,3
PAPER_1348,2
PAPER_1349,1
PAPER_135,5
PAPER_1350,3
PAPER_1351,2
PAPER_1352,2
PAPER_1353,1
PAPER_1354,3
PAPER_1355,4
PAPER_1356,2
PAPER_1357,1
PAPER_1358,4
PAPER_1359,3
PAPER_136,13
PAPER_1360,1
PAPER_1361,2
PAPER_1362,2
PAPER_1363,2
PAPER_1364,2
PAPER_1365,1
PAPER_1366,2
PAPER_1367,2
PAPER_1368,2
PAPER_1369,2
PAPER_137,5
PAPER_1370,1
PAPER_1371,1
PAPER_1372,2
PAPER_1373,29
PAPER_1374,2
PAPER_1375,2
PAPER_1376,11
PAPER_1377,1
PAPER_1378,1
PAPER_1379,1
PAPER_138,4
PAPER_1380,1
PAPER_1381,3
PAPER_1382,2
PAPER_1383,1
PAPER_1384,1
PAPER_1385,2
PAPER_1386,1
PAPER_1387,1
PAPER_1388,1
PAPER_1389,1
PAPER_139,9
PAPER_1390,1
PAPER_1391,1
PAPER_1392,1
PAPER_1393,1
PAPER_1394,1
PAPER_1395,1
PAPER_1396,1
PAPER_1397,1
PAPER_1398,1
PAPER_1399,3
PAPER_140,11
PAPER_1400,2
PAPER_1401,2
PAPER_1402,1
PAPER_1403,1
PAPER_1404,12
PAPER_1405,4
PAPER_1406,2
PAPER_1407,2
PAPER_1408,2
PAPER_1409,2
PAPER_141,2
PAPER_1410,1
PAPER_1411,2
PAPER_1412,2
PAPER_1413,2
PAPER_1414,1
PAPER_1415,1
PAPER_1416,2
PAPER_1417,1
PAPER_1418,2
PAPER_1419,1
PAPER_142,12
PAPER_1420,1
PAPER_1421,2
PAPER_1422,1
PAPER_1423,2
PAPER_1424,1
PAPER_1425,1
PAPER_1426,1
PAPER_1427,1
PAPER_1428,1
PAPER_1429,2
PAPER_143,5
PAPER_1430,2
PAPER_1431,1
PAPER_1432,1
PAPER_1433,1
PAPER_1434,1
PAPER_1435,2
PAPER_1436,3
PAPER_1437,2
PAPER_1438,2
PAPER_1439,3
PAPER_144,9
PAPER_1440,1
PAPER_1441,4
PAPER_1442,2
PAPER_1443,2
PAPER_1444,1
PAPER_1445,1
PAPER_1446,1
PAPER_1447,1
PAPER_1448,1
PAPER_1449,1
PAPER_145,19
PAPER_1450,2
PAPER_1451,2
PAPER_1452,1
PAPER_1453,1
PAPER_1454,3
PAPER_1455,1
PAPER_1456,2
PAPER_1457,2
PAPER_1458,1
PAPER_1459,1
PAPER_146,11
PAPER_1460,2
PAPER_1461,2
PAPER_1462,2
PAPER_1463,2
PAPER_1464,1
PAPER_1465,1
PAPER_1466,3
PAPER_1467,2
PAPER_1468,1
PAPER_1469,2
