paper,cited_by_files
PAPER_272,1
PAPER_273,5
PAPER_2732,1
PAPER_274,5
PAPER_275,5
PAPER_276,3
PAPER_277,4
PAPER_278,4
PAPER_279,5
PAPER_280,5
PAPER_281,4
PAPER_282,4
PAPER_283,1
PAPER_284,7
PAPER_285,5
PAPER_286,4
PAPER_287,5
PAPER_288,6
PAPER_289,6
PAPER_290,2
PAPER_291,3
PAPER_292,4
PAPER_293,6
PAPER_294,4
PAPER_295,6
PAPER_296,6
PAPER_297,3
PAPER_298,4
PAPER_299,7
PAPER_300,6
PAPER_3000,1
PAPER_301,4
PAPER_302,6
PAPER_303,4
PAPER_304,3
PAPER_305,5
PAPER_306,4
PAPER_307,3
PAPER_308,3
PAPER_309,3
PAPER_310,2
PAPER_311,5
PAPER_312,5
PAPER_313,6
PAPER_314,2
PAPER_315,2
PAPER_316,2
PAPER_317,2
PAPER_318,1
PAPER_319,1
PAPER_320,4
PAPER_321,4
PAPER_322,7
PAPER_323,2
PAPER_324,1
PAPER_325,1
PAPER_326,9
PAPER_327,3
PAPER_328,7
PAPER_329,3
PAPER_330,2
PAPER_331,2
PAPER_332,3
PAPER_333,3
PAPER_334,4
PAPER_335,5
PAPER_336,3
PAPER_337,4
PAPER_338,4
PAPER_339,5
PAPER_340,3
PAPER_341,5
PAPER_342,10
PAPER_343,4
PAPER_344,6
PAPER_345,3
PAPER_346,13
PAPER_347,11
PAPER_348,3
PAPER_349,5
PAPER_350,6
PAPER_351,10
PAPER_352,3
PAPER_353,2
PAPER_354,1
PAPER_355,3
PAPER_356,2
PAPER_357,3
PAPER_358,1
PAPER_359,4
PAPER_360,5
PAPER_361,8
PAPER_362,2
PAPER_363,1
PAPER_364,3
PAPER_365,2
PAPER_366,6
PAPER_367,4
PAPER_368,4
PAPER_369,6
PAPER_370,2
PAPER_371,17
PAPER_372,17
PAPER_373,7
PAPER_374,6
PAPER_375,12
PAPER_376,7
PAPER_377,4
PAPER_378,4
PAPER_379,5
PAPER_380,3
PAPER_381,5
PAPER_382,6
PAPER_383,10
PAPER_384,6
PAPER_385,6
PAPER_386,1
PAPER_387,4
PAPER_388,3
PAPER_389,2
PAPER_390,3
PAPER_391,1
PAPER_392,8
PAPER_393,5
PAPER_394,7
PAPER_395,6
PAPER_396,3
PAPER_397,1
PAPER_398,2
PAPER_399,3
PAPER_400,4
PAPER_401,6
PAPER_402,4
PAPER_403,4
PAPER_404,3
PAPER_405,2
PAPER_406,3
PAPER_407,2
PAPER_408,3
PAPER_409,4
PAPER_410,1
PAPER_411,3
PAPER_412,3
PAPER_413,5
PAPER_414,2
PAPER_415,1
PAPER_416,4
PAPER_417,3
PAPER_418,4
PAPER_419,1
PAPER_420,113
PAPER_421,117
PAPER_422,7
PAPER_423,1
PAPER_424,5
PAPER_425,4
PAPER_426,5
PAPER_427,7
PAPER_428,2
PAPER_429,28
PAPER_430,4
PAPER_431,8
PAPER_432,5
PAPER_433,3
PAPER_434,6
PAPER_435,12
PAPER_436,7
PAPER_437,1
PAPER_438,4
PAPER_439,2
PAPER_440,9
PAPER_441,5
PAPER_442,6
PAPER_443,6
PAPER_444,3
PAPER_445,2
PAPER_446,1
PAPER_447,3
PAPER_448,2
PAPER_449,3
PAPER_450,3
PAPER_451,1
PAPER_452,4
PAPER_453,1
PAPER_454,5
PAPER_455,1
PAPER_456,4
PAPER_457,1
PAPER_458,1
PAPER_459,1
PAPER_460,1
PAPER_461,3
PAPER_462,3
PAPER_463,7
PAPER_464,5
PAPER_465,1
PAPER_466,2
PAPER_467,1
PAPER_468,2
PAPER_469,1
PAPER_470,1
PAPER_471,2
PAPER_472,2
PAPER_473,2
PAPER_474,2
PAPER_475,1
PAPER_476,3
PAPER_477,1
PAPER_478,1
PAPER_479,4
PAPER_480,2
PAPER_481,3
PAPER_482,1
PAPER_483,1
PAPER_484,6
PAPER_485,2
PAPER_486,4
PAPER_487,5
PAPER_488,2
PAPER_489,5
PAPER_490,2
PAPER_491,3
PAPER_492,1
PAPER_493,1
PAPER_494,1
PAPER_495,2
PAPER_496,7
PAPER_497,7
PAPER_498,4
PAPER_499,4
PAPER_500,7
PAPER_501,4
PAPER_502,1
PAPER_503,2
PAPER_504,1
PAPER_505,1
PAPER_506,3
PAPER_507,4
PAPER_508,5
PAPER_509,6
PAPER_510,1
PAPER_511,1
PAPER_512,2
PAPER_513,1
PAPER_514,1
PAPER_515,1
PAPER_516,9
PAPER_517,5
PAPER_518,6
PAPER_519,7
PAPER_520,5
PAPER_521,8
PAPER_522,5
PAPER_523,5
PAPER_524,5
PAPER_525,1
PAPER_526,4
PAPER_527,3
PAPER_528,6
PAPER_529,8
PAPER_530,6
PAPER_531,2
PAPER_532,3
PAPER_533,5
PAPER_534,3
PAPER_535,13
PAPER_536,10
PAPER_537,2
PAPER_538,1
PAPER_539,1
PAPER_540,6
PAPER_541,5
PAPER_542,4
PAPER_543,11
PAPER_544,10
PAPER_545,1
PAPER_546,2
PAPER_547,4
PAPER_548,7
PAPER_549,2
PAPER_550,9
PAPER_551,6
PAPER_552,7
PAPER_553,5
PAPER_554,12
PAPER_555,7
PAPER_556,7
PAPER_557,3
PAPER_558,4
PAPER_559,1
PAPER_560,2
PAPER_561,1
PAPER_562,1
PAPER_563,7
PAPER_564,8
PAPER_565,7
PAPER_566,8
PAPER_567,4
PAPER_568,4
PAPER_569,3
PAPER_570,4
PAPER_571,4
PAPER_572,3
PAPER_573,5
PAPER_574,3
PAPER_575,3
PAPER_576,2
PAPER_577,4
PAPER_578,6
PAPER_579,7
PAPER_580,4
PAPER_581,4
PAPER_582,3
PAPER_583,14
PAPER_584,2
PAPER_585,4
PAPER_586,4
PAPER_587,8
PAPER_588,3
PAPER_589,6
PAPER_590,10
PAPER_591,5
PAPER_592,18
PAPER_593,32
PAPER_594,9
PAPER_595,3
PAPER_596,6
PAPER_597,43
PAPER_598,12
PAPER_599,2
PAPER_600,1
PAPER_601,2
PAPER_602,2
PAPER_603,2
PAPER_604,4
PAPER_605,1
PAPER_606,1
PAPER_607,2
PAPER_608,2
PAPER_609,2
PAPER_610,3
PAPER_611,2
PAPER_612,1
PAPER_613,1
PAPER_614,1
PAPER_615,1
PAPER_616,1
PAPER_617,1
PAPER_618,1
PAPER_619,1
PAPER_620,1
PAPER_621,2
PAPER_622,7
PAPER_623,3
PAPER_624,5
PAPER_625,1
PAPER_626,2
PAPER_627,5
PAPER_628,1
PAPER_629,1
PAPER_630,2
PAPER_631,2
PAPER_632,1
PAPER_633,3
PAPER_634,4
PAPER_635,2
PAPER_636,3
PAPER_637,2
PAPER_638,2
PAPER_639,4
PAPER_640,4
PAPER_641,5
PAPER_642,1069
PAPER_643,6
PAPER_644,1
PAPER_645,2
PAPER_646,295
PAPER_647,11
PAPER_648,10
PAPER_649,8
PAPER_650,7
PAPER_651,4
PAPER_652,3
PAPER_653,1
PAPER_654,1
PAPER_655,2
PAPER_656,5
PAPER_657,14
PAPER_658,5
PAPER_659,2
PAPER_660,2
PAPER_661,1
PAPER_662,1
PAPER_663,1
PAPER_664,1
PAPER_665,1
PAPER_666,1
PAPER_667,1
PAPER_668,1
PAPER_669,1
PAPER_670,1
PAPER_671,1
PAPER_672,1
PAPER_673,1
PAPER_674,1
PAPER_675,1
PAPER_676,1
PAPER_677,1
PAPER_678,1
PAPER_679,1
PAPER_680,1
PAPER_681,1
PAPER_682,1
PAPER_683,1
PAPER_684,1
PAPER_685,1
PAPER_686,1
PAPER_687,1
PAPER_688,1
PAPER_689,1
PAPER_690,1
PAPER_691,1
PAPER_692,3
PAPER_693,2
PAPER_694,1
PAPER_695,2
PAPER_696,2
PAPER_697,1
PAPER_698,1
PAPER_699,1
PAPER_700,2
PAPER_701,2
PAPER_702,2
PAPER_703,4
PAPER_704,3
PAPER_705,2
PAPER_706,2
PAPER_707,1
PAPER_708,2
PAPER_709,1
PAPER_710,2
PAPER_711,2
PAPER_712,1
PAPER_713,1
PAPER_714,1
PAPER_715,1
PAPER_716,1
PAPER_717,1
PAPER_718,2
PAPER_719,1
PAPER_720,1
PAPER_721,1
PAPER_722,1
PAPER_723,1
PAPER_724,1
PAPER_725,1
PAPER_726,1
PAPER_727,1
PAPER_728,1
PAPER_729,1
PAPER_730,1
PAPER_731,1
PAPER_732,4
PAPER_733,2
PAPER_734,7
PAPER_735,5
PAPER_736,4
PAPER_737,2
PAPER_738,2
PAPER_739,2
PAPER_740,3
PAPER_741,3
PAPER_742,2
PAPER_743,1
PAPER_744,3
PAPER_745,1
PAPER_746,1
PAPER_747,2
PAPER_748,1
PAPER_749,1
PAPER_750,2
PAPER_751,1
PAPER_752,2
PAPER_753,1
PAPER_754,2
PAPER_755,1
PAPER_756,5
PAPER_757,3
PAPER_758,1
PAPER_759,3
PAPER_760,1
PAPER_761,3
PAPER_762,1
PAPER_763,11
PAPER_764,1
PAPER_765,1
PAPER_766,1
PAPER_767,1
PAPER_768,1
PAPER_769,1
PAPER_770,1
PAPER_771,2
PAPER_772,1
PAPER_773,1
PAPER_774,8
PAPER_775,2
PAPER_776,2
PAPER_777,2
PAPER_778,3
PAPER_779,5
PAPER_780,2
PAPER_781,1
PAPER_782,2
PAPER_783,4
PAPER_784,9
PAPER_785,3
PAPER_786,2
PAPER_787,2
PAPER_788,3
PAPER_789,2
PAPER_790,1
PAPER_791,2
PAPER_792,1
PAPER_793,2
PAPER_794,1
PAPER_795,2
PAPER_796,1
PAPER_797,2
PAPER_798,2
PAPER_799,1
PAPER_800,7
PAPER_801,3
PAPER_802,2
PAPER_803,2
PAPER_804,2
PAPER_805,2
PAPER_806,3
PAPER_807,3
PAPER_808,1
PAPER_809,1
PAPER_810,1
PAPER_811,3
PAPER_812,2
PAPER_813,1
PAPER_814,1
PAPER_815,2
PAPER_816,1
PAPER_817,3
PAPER_818,1
PAPER_819,4
PAPER_820,1
PAPER_821,1
PAPER_822,1
PAPER_823,6
PAPER_824,3
PAPER_825,2
PAPER_826,3
PAPER_827,1
PAPER_828,4
PAPER_829,4
PAPER_830,3
PAPER_831,4
PAPER_832,2
PAPER_833,1
PAPER_834,1
PAPER_835,1
PAPER_836,2
PAPER_837,1
PAPER_838,2
PAPER_839,1
PAPER_840,913
PAPER_841,2
PAPER_842,2
PAPER_843,1
PAPER_844,1
PAPER_845,1
PAPER_846,1
PAPER_847,1
PAPER_848,1
PAPER_849,1
PAPER_850,1
PAPER_851,2
PAPER_852,1
PAPER_853,1
PAPER_854,2
PAPER_855,5
PAPER_856,3
PAPER_857,2
PAPER_858,1
PAPER_859,1
PAPER_860,1
PAPER_861,1
PAPER_862,2
PAPER_863,1
PAPER_864,1
PAPER_865,1
PAPER_866,1
PAPER_867,1
PAPER_868,2
PAPER_869,1
PAPER_870,4
PAPER_871,3
PAPER_872,19
PAPER_873,1
PAPER_874,2
PAPER_875,1
PAPER_876,2
PAPER_877,1100
PAPER_878,10
PAPER_879,5
PAPER_880,17
PAPER_881,6
PAPER_882,8
PAPER_883,17
PAPER_884,14
PAPER_885,6
PAPER_886,9
PAPER_887,6
PAPER_888,13
PAPER_889,11
PAPER_890,11
PAPER_891,5
PAPER_892,11
PAPER_893,6
PAPER_894,4
PAPER_895,7
PAPER_896,9
PAPER_897,6
PAPER_898,4
PAPER_899,3
PAPER_900,6
PAPER_901,9
PAPER_902,9
PAPER_903,2
PAPER_904,1
PAPER_905,16
PAPER_906,2
PAPER_907,1
PAPER_908,16
PAPER_909,1
PAPER_910,17
PAPER_911,9
PAPER_912,9
PAPER_913,8
PAPER_914,16
PAPER_915,22
PAPER_916,10
PAPER_917,8
PAPER_918,6
PAPER_919,7
PAPER_920,7
PAPER_921,6
PAPER_922,10
PAPER_923,2
PAPER_924,1
PAPER_925,2
PAPER_926,1
PAPER_927,3
PAPER_928,1
PAPER_929,1
PAPER_930,2
PAPER_931,1
PAPER_932,1
PAPER_933,1
PAPER_934,1
PAPER_935,2
PAPER_936,1
PAPER_937,1
PAPER_938,1
PAPER_939,3
PAPER_940,3
PAPER_941,1
PAPER_942,1
PAPER_943,1
PAPER_944,1
PAPER_945,1
PAPER_946,1
PAPER_947,1
PAPER_948,2
PAPER_949,18
PAPER_950,5
PAPER_951,5
PAPER_952,11
PAPER_953,5
PAPER_954,2
PAPER_955,10
PAPER_956,4
PAPER_957,4
PAPER_958,4
PAPER_959,9
PAPER_960,4
PAPER_961,9
PAPER_962,5
PAPER_963,6
PAPER_964,5
PAPER_965,3
PAPER_966,6
PAPER_967,3
PAPER_968,8
PAPER_969,12
PAPER_970,8
PAPER_971,6
PAPER_972,4
PAPER_973,2
PAPER_974,8
PAPER_975,4
PAPER_976,3
PAPER_977,2
PAPER_978,2
PAPER_979,19
PAPER_980,4
PAPER_981,5
PAPER_982,3
PAPER_983,2
PAPER_984,3
PAPER_985,5
PAPER_986,2
PAPER_987,4
PAPER_988,5
PAPER_989,12
PAPER_990,4
PAPER_991,5
PAPER_992,2
PAPER_993,4
PAPER_994,2
PAPER_995,4
PAPER_996,2
PAPER_997,6
PAPER_998,1
PAPER_999,7
LITERAL_G_FILES,168
LITERAL_C_FILES,57
